Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
A,Agilent Technologies Inc,Common stocks,Large cap,Health Care,"$35,617,948,597 ",0.69%,29.41,5.53,6.88,Analyze
AAL,American Airlines Group Inc,Common stocks,Mid cap,Industrials,"$9,593,334,305 ",0.00%,-4.03,0.28,-1.07,Analyze
AAP,Advance Auto Parts Inc,Common stocks,Large cap,Consumer Discretionary,"$11,148,025,428 ",2.69%,18.24,1.01,3.59,Analyze
AAPL,Apple Inc,Common stocks,Large cap,Information Technology,"$2,360,770,500,660 ",0.61%,23.16,6.12,35.03,Analyze
ABBV,Abbvie Inc,Common stocks,Large cap,Health Care,"$269,413,603,254 ",3.51%,21.55,4.75,16.51,Analyze
ABC,AmerisourceBergen Corp,Common stocks,Large cap,Health Care,"$29,614,027,389 ",1.28%,16.87,0.13,52.95,Analyze
ABMD,Abiomed Inc,Common stocks,Large cap,Health Care,"$11,692,064,689 ",0.00%,51.86,11.33,7.78,Analyze
ABT,Abbott Laboratories,Common stocks,Large cap,Health Care,"$189,627,049,899 ",1.69%,24.07,4.26,5.25,Analyze
ACN,Accenture Plc Class A,Common stocks,Large cap,Information Technology,"$181,124,146,683 ",1.38%,28.28,3.19,8.79,Analyze
ADBE,Adobe Inc,Common stocks,Large cap,Information Technology,"$175,752,720,000 ",0.00%,36.41,10.89,12.76,Analyze
ADI,Analog Devices Inc,Common stocks,Large cap,Information Technology,"$76,957,282,445 ",1.95%,46.86,7.89,2.07,Analyze
ADM,Archer-Daniels-Midland Company,Common stocks,Large cap,Consumer Staples,"$40,993,262,210 ",2.10%,13.31,0.46,1.72,Analyze
ADP,Automatic Data Processing Inc,Common stocks,Large cap,Information Technology,"$88,683,542,898 ",1.89%,30.99,5.62,21.15,Analyze
ADSK,Autodesk Inc,Common stocks,Large cap,Information Technology,"$37,442,519,088 ",0.00%,75.34,8.54,44.1,Analyze
AEE,Ameren Corp,Common stocks,Large cap,Utilities,"$22,599,983,805 ",2.58%,22.29,3.37,2.29,Analyze
AEP,American Electric Power Inc,Common stocks,Large cap,Utilities,"$48,463,163,889 ",3.22%,18.44,2.83,879.55,Analyze
AES,AES Corp,Common stocks,Large cap,Utilities,"$14,071,802,720 ",2.90%,-95.65,1.24,4.59,Analyze
AFL,Aflac Inc,Common stocks,Large cap,Financials,"$35,905,731,348 ",2.60%,8.65,1.69,1.19,Analyze
AIG,American International Group Inc,Common stocks,Large cap,Financials,"$40,496,853,609 ",2.48%,4.12,0.76,0.72,Analyze
AIZ,Assurant Inc,Common stocks,Mid cap,Financials,"$9,363,749,381 ",1.55%,6.97,0.91,1.88,Analyze
AJG,Arthur J Gallagher,Common stocks,Large cap,Financials,"$34,623,407,760 ",1.20%,35.9,4.09,3.85,Analyze
AKAM,Akamai Technologies Inc,Common stocks,Large cap,Information Technology,"$14,320,062,891 ",0.00%,23.28,4.07,3.33,Analyze
ALB,Albemarle Corp,Common stocks,Large cap,Materials,"$22,933,007,347 ",0.80%,81.58,6.32,3.94,Analyze
ALGN,Align Technology Inc,Common stocks,Large cap,Health Care,"$19,621,005,092 ",0.00%,27.79,4.87,5.35,Analyze
ALK,Alaska Air Group Inc,Common stocks,Mid cap,Industrials,"$5,270,638,243 ",0.00%,11.16,0.75,1.43,Analyze
ALL,Allstate Corp,Common stocks,Large cap,Financials,"$35,206,073,234 ",2.57%,9.9,0.7,1.5,Analyze
ALLE,Allegion PLC,Common stocks,Mid cap,Industrials,"$8,509,174,797 ",1.58%,17.91,2.94,11.3,Analyze
AMAT,Applied Material Inc,Common stocks,Large cap,Information Technology,"$77,190,421,888 ",1.37%,11.43,3.11,6.67,Analyze
AMCR,Amcor plc,Common stocks,Large cap,Materials,"$18,724,473,119 ",3.80%,19.54,1.33,4.12,Analyze
AMD,Advanced Micro Devices Inc,Common stocks,Large cap,Information Technology,"$123,741,983,549 ",0.00%,36.47,6.56,2.24,Analyze
AME,Ametek Inc,Common stocks,Large cap,Industrials,"$25,460,137,592 ",0.76%,24.25,4.4,3.65,Analyze
AMGN,Amgen Inc,Common stocks,Large cap,Health Care,"$131,931,357,453 ",2.96%,23.05,5.01,144.03,Analyze
AMP,Ameriprise Finance Inc,Common stocks,Large cap,Financials,"$25,459,374,645 ",1.99%,8.13,1.84,5,Analyze
AMT,American Tower Corporation,REITs,Large cap,Real Estate,"$116,592,201,825 ",2.15%,44.33,11.83,21.78,Analyze
AMZN,Amazon.Com Inc.,Common stocks,Large cap,Consumer Discretionary,"$1,111,204,280,000 ",0.00%,51.89,2.33,8.29,Analyze
ANET,Arista Networks Inc,Common stocks,Large cap,Information Technology,"$30,289,975,244 ",0.00%,32.49,9.59,7.3,Analyze
ANSS,Ansys Inc,Common stocks,Large cap,Information Technology,"$20,755,842,632 ",0.00%,45.8,10.54,4.76,Analyze
AON,Aon Plc,Common stocks,Large cap,Financials,"$57,462,588,525 ",0.77%,41.92,4.66,48.62,Analyze
AOS,A O Smith Corp,Common stocks,Mid cap,Industrials,"$9,064,476,680 ",1.95%,14.17,2.42,3.99,Analyze
APA,Apache Corp,Common stocks,Large cap,Energy,"$10,968,877,121 ",1.04%,4.41,1.25,11.77,Analyze
APD,Air Products And Chemicals Inc,Common stocks,Large cap,Materials,"$51,435,887,731 ",2.67%,22.62,4.52,3.62,Analyze
APH,Amphenol Corp,Common stocks,Large cap,Information Technology,"$38,443,778,175 ",1.15%,22.71,3.36,5.96,Analyze
APTV,Aptiv Plc,Common stocks,Large cap,Consumer Discretionary,"$24,359,399,467 ",0.00%,75.67,1.54,2.89,Analyze
ARE,"Alexandria Real Estate Equities, Inc",REITs,Large cap,Real Estate,"$23,374,435,889 ",3.18%,56.98,10.39,1.36,Analyze
ATO,Atmos Energy Corp,Common stocks,Large cap,Utilities,"$15,548,829,092 ",2.38%,21.29,4.1,1.72,Analyze
ATVI,Activision Blizzard Inc,Common stocks,Large cap,Communication Services,"$59,845,207,867 ",0.61%,24.19,7.21,3.36,Analyze
AVB,"AvalonBay Communities, Inc",REITs,Large cap,Real Estate,"$26,752,818,980 ",3.29%,23.7,11.35,2.43,Analyze
AVGO,Broadcom Inc.,Common stocks,Large cap,Information Technology,"$194,385,726,249 ",4.03%,25.81,6.82,8.45,Analyze
AVY,Avery Dennison Corp,Common stocks,Large cap,Materials,"$13,567,022,905 ",1.68%,18.28,1.56,6.89,Analyze
AWK,American Water Works Inc,Common stocks,Large cap,Utilities,"$26,904,937,446 ",1.65%,20.89,6.93,3.61,Analyze
AXP,American Express,Common stocks,Large cap,Financials,"$104,810,929,492 ",1.36%,13.44,2.33,4.69,Analyze
AZO,Autozone Inc,Common stocks,Large cap,Consumer Discretionary,"$42,065,931,201 ",0.00%,17.59,2.7,-13.51,Analyze
BA,Boeing,Common stocks,Large cap,Industrials,"$87,059,212,826 ",0.00%,-17.44,1.43,-5.53,Analyze
BAC,Bank of America Corp,Common stocks,Large cap,Financials,"$252,663,799,544 ",2.66%,8.4,2.82,0.93,Analyze
BALL,Ball Corporation,Common stocks,Large cap,Materials,"$21,636,915,959 ",1.18%,19.23,1.5,5.55,Analyze
BAX,Baxter International Inc,Common stocks,Large cap,Health Care,"$32,568,234,893 ",1.74%,30.38,2.4,3.54,Analyze
BBWI,"Bath & Body Works, Inc.",Common stocks,Mid cap,Consumer Discretionary,"$6,141,549,786 ",2.59%,5.17,0.65,-4.13,Analyze
BBY,Best Buy Inc,Common stocks,Large cap,Consumer Discretionary,"$15,856,359,221 ",4.42%,9.33,0,5.32,Analyze
BDX,Becton Dickinson,Common stocks,Large cap,Health Care,"$67,537,511,903 ",1.42%,36.68,3.37,2.74,Analyze
BEN,Franklin Resources Inc,Common stocks,Large cap,Financials,"$12,013,177,252 ",4.71%,6.38,1.39,1.04,Analyze
BF,Brown Forman Inc Class B,Common stocks,Large cap,Consumer Staples,"$33,289,720,724 ",1.21%,26.94,8.88,8.63,Analyze
BIIB,Biogen Inc,Common stocks,Large cap,Health Care,"$31,572,124,963 ",0.00%,21.78,2.92,2.81,Analyze
BIO,Bio Rad Laboratories Inc Class A,Common stocks,Large cap,Health Care,"$14,967,179,102 ",0.00%,-122.8,5.17,1.22,Analyze
BK,Bank Of New York Mellon Corp,Common stocks,Large cap,Financials,"$33,741,732,610 ",3.22%,9.83,2.16,0.8,Analyze
BKNG,Booking Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"$70,613,374,742 ",0.00%,135.8,5.64,16.15,Analyze
BKR,Baker Hughes Company Class A,Common stocks,Large cap,Energy,"$28,458,747,600 ",1.29%,88.45,1.38,1.72,Analyze
BLK,Blackrock Inc,Common stocks,Large cap,Financials,"$91,400,398,709 ",2.96%,14.72,4.65,2.41,Analyze
BMY,Bristol Myers Squibb,Common stocks,Large cap,Health Care,"$159,701,110,968 ",2.78%,25.38,3.4,5.02,Analyze
BR,Broadridge Financial Solutions Inc,Common stocks,Large cap,Information Technology,"$17,125,667,887 ",1.74%,31.02,3.1,9.39,Analyze
BRK,Berkshire Hathaway Inc. Class B,Common stocks,Large cap,Financials,"$612,090,789,643 ",0.00%,4.32,1.72,0.7,Analyze
BRO,Brown & Brown Inc,Common stocks,Large cap,Financials,"$16,665,395,499 ",0.68%,27.35,5.31,3.83,Analyze
BSX,Boston Scientific Corp,Common stocks,Large cap,Health Care,"$52,722,585,819 ",0.00%,69.81,4.34,3.14,Analyze
BWA,BorgWarner Inc,Common stocks,Mid cap,Consumer Discretionary,"$8,267,728,488 ",1.96%,11.98,0.56,1.14,Analyze
BXP,"Boston Properties, Inc",REITs,Large cap,Real Estate,"$13,789,105,422 ",4.39%,24.78,4.71,2.32,Analyze
C,Citigroup Inc,Common stocks,Large cap,Financials,"$91,378,668,498 ",4.36%,5.25,1.28,0.46,Analyze
CAG,Conagra Brands Inc,Common stocks,Large cap,Consumer Staples,"$17,083,559,078 ",3.46%,16.51,1.5,1.95,Analyze
CAH,Cardinal Health Inc,Common stocks,Large cap,Health Care,"$14,493,135,658 ",3.65%,-15.09,0.08,-20.68,Analyze
CARR,Carrier Global Corporation,Common stocks,Large cap,Industrials,"$30,646,974,500 ",1.57%,11.4,1.49,4.27,Analyze
CAT,Caterpillar Inc,Common stocks,Large cap,Industrials,"$93,064,800,740 ",2.53%,14.28,1.77,5.43,Analyze
CB,Chubb Ltd,Common stocks,Large cap,Financials,"$81,310,211,711 ",1.67%,9.8,2,1.42,Analyze
CBOE,"Cboe Global Markets, Inc.",Common stocks,Large cap,Financials,"$12,755,371,028 ",1.59%,25.07,3.69,3.51,Analyze
CBRE,CBRE Group Inc,Common stocks,Large cap,Real Estate,"$25,024,444,014 ",0.00%,12.53,0.86,2.9,Analyze
CCI,Crown Castle International Corp.,REITs,Large cap,Real Estate,"$74,022,435,208 ",3.32%,50.73,11.22,9.21,Analyze
CCL,Carnival Corp,Common stocks,Large cap,Consumer Discretionary,"$10,079,428,846 ",0.00%,-0.95,2.88,0.87,Analyze
CDAY,Ceridian HCM Holding Inc.,Common stocks,Mid cap,Information Technology,"$7,415,485,890 ",0.00%,-88.5,6.85,3.46,Analyze
CDNS,Cadence Design Systems Inc,Common stocks,Large cap,Information technology,"$42,527,552,980 ",0.00%,57.15,13.48,15.41,Analyze
CDW,CDW Corp,Common stocks,Large cap,Information Technology,"$21,375,306,904 ",1.20%,21.24,0.97,23.93,Analyze
CE,Celanese Corporation,Common stocks,Large cap,Materials,"$12,093,773,672 ",2.42%,5.66,1.3,2.54,Analyze
CEG,Constellation Energy Corporation,Common stocks,Large cap,Utilities,"$19,350,378,039 ",0.48%,-30.91,0.92,1.74,Analyze
CF,CF Industries Holdings Inc,Common stocks,Large cap,Materials,"$17,816,672,905 ",1.51%,10.82,2.13,4.46,Analyze
CFG,Citizens Financial Group Inc,Common stocks,Large cap,Financials,"$17,865,783,950 ",4.27%,8.7,2.69,0.79,Analyze
CHD,Church And Dwight Inc,Common stocks,Large cap,Consumer Staples,"$22,987,997,826 ",1.08%,28.75,4.38,6.85,Analyze
CHRW,"C.H. Robinson Worldwide, Inc.",Common stocks,Large cap,Industrials,"$12,333,363,275 ",2.21%,13.1,0.49,5.89,Analyze
CHTR,Charter Communications Inc Class A,Common stocks,Large cap,Communication Services,"$78,574,461,336 ",0.00%,15.56,1.5,6.52,Analyze
CI,Cigna Corp,Common stocks,Large cap,Health Care,"$88,630,338,816 ",1.51%,16.12,0.5,1.88,Analyze
CINF,Cincinnati Financial Corp,Common stocks,Large cap,Financials,"$18,734,303,507 ",2.24%,9.13,2.17,1.55,Analyze
CL,Colgate-Palmolive,Common stocks,Large cap,Consumer Staples,"$65,619,227,840 ",2.30%,32.15,3.75,204.73,Analyze
CLX,Clorox,Common stocks,Large cap,Consumer Staples,"$17,709,980,193 ",3.19%,39.67,2.49,45.42,Analyze
CMA,Comerica Inc,Common stocks,Mid cap,Financials,"$9,596,498,931 ",3.66%,9.75,3.48,1.36,Analyze
CMCSA,Comcast A Corp,Common stocks,Large cap,Communication Services,"$177,705,172,287 ",2.61%,12.36,1.48,1.88,Analyze
CME,CME Group Inc Class A,Common stocks,Large cap,Financials,"$73,022,983,504 ",1.86%,26.53,15.27,2.63,Analyze
CMG,Chipotle Mexican Grill Inc,Common stocks,Large cap,Consumer Discretionary,"$35,273,509,654 ",0.00%,52.13,4.51,16.71,Analyze
CMI,Cummins Inc,Common stocks,Large cap,Industrials,"$28,384,647,846 ",2.88%,14.47,1.17,3.34,Analyze
CMS,CMS Energy Corp,Common stocks,Large cap,Utilities,"$19,122,409,179 ",2.69%,19.15,2.49,1.95,Analyze
CNC,Centene Corp,Common stocks,Large cap,Health Care,"$50,832,528,040 ",0.00%,9.99,0.38,1.83,Analyze
CNP,Centerpoint Energy Inc,Common stocks,Large cap,Utilities,"$18,530,972,289 ",2.28%,11.62,2.16,1.84,Analyze
COF,Capital One Financial Corp,Common stocks,Large cap,Financials,"$42,072,142,218 ",2.23%,3.75,1.34,0.74,Analyze
COO,"Cooper Companies, Inc.",Common stocks,Large cap,Health Care,"$15,851,759,508 ",0.02%,15.35,5.23,2.08,Analyze
COP,ConocoPhillips,Common stocks,Large cap,Energy,"$107,938,364,697 ",3.56%,8.36,2.01,2.18,Analyze
COST,Costco Wholesale Corp,Common stocks,Large cap,Consumer Staples,"$217,304,333,891 ",0.67%,39.42,1.03,11.19,Analyze
CPB,Campbell Soup,Common stocks,Large cap,Consumer Staples,"$14,695,141,866 ",2.99%,16.14,1.77,4.44,Analyze
CPRT,Copart Inc,Common stocks,Large cap,Industrials,"$26,586,054,351 ",0.00%,24.56,7.9,6.11,Analyze
CPT,Camden Property Trust,REITs,Large cap,Real Estate,"$14,120,404,009 ",2.65%,39.91,11.89,3.34,Analyze
CRL,Charles River Laboratories International,Common stocks,Large cap,Health Care,"$11,051,073,147 ",0.00%,25.78,3.04,4.17,Analyze
CRM,Salesforce.Com Inc,Common stocks,Large cap,Information Technology,"$165,498,350,000 ",0.00%,112.65,6.25,2.8,Analyze
CSCO,Cisco Systems Inc,Common stocks,Large cap,Information Technology,"$177,481,718,626 ",3.48%,14.78,3.44,4.39,Analyze
CSX,CSX Corp,Common stocks,Large cap,Industrials,"$61,792,467,836 ",1.35%,15.71,4.71,4.69,Analyze
CTAS,Cintas Corp,Common stocks,Large cap,Industrials,"$38,623,560,906 ",1.00%,31.99,5.07,11.73,Analyze
CTLT,Catalent Inc,Common stocks,Large cap,Health Care,"$18,747,496,723 ",0.00%,38.31,3.99,4.01,Analyze
CTRA,Coterra Energy Inc.,Common stocks,Large cap,Energy,"$21,224,907,888 ",2.01%,13.33,4.55,1.87,Analyze
CTSH,Cognizant Technology Solutions,Common stocks,Large cap,Information Technology,"$33,954,475,546 ",1.57%,15.47,1.79,2.84,Analyze
CTVA,"Corteva, Inc.",Common stocks,Large cap,Materials,"$38,037,672,000 ",1.06%,21.83,2.37,1.46,Analyze
CTXS,Citrix Systems Inc,Common stocks,Large cap,Information Technology,"$12,921,278,846 ",0.72%,46.53,3.96,19.44,Analyze
CVS,CVS Health Corp,Common stocks,Large cap,Health Care,"$124,548,135,849 ",2.19%,15.32,0.42,1.66,Analyze
CVX,Chevron Corp,Common stocks,Large cap,Energy,"$272,951,885,308 ",3.97%,13.22,1.54,1.85,Analyze
CZR,Caesars Entertainment Corp,Common stocks,Mid cap,Consumer Discretionary,"$8,300,256,902 ",0.00%,-13.93,0.82,2.19,Analyze
D,Dominion Energy Inc,Common stocks,Large cap,Utilities,"$64,293,175,555 ",3.23%,21.47,4.47,2.19,Analyze
DAL,Delta Air Lines Inc,Common stocks,Large cap,Industrials,"$19,931,067,235 ",0.00%,36.9,0.57,6.37,Analyze
DD,"DuPont de Nemours, Inc.",Common stocks,Large cap,Materials,"$28,243,564,531 ",2.25%,17.87,1.77,1.07,Analyze
DE,Deere & Company,Common stocks,Large cap,Industrials,"$90,455,933,485 ",1.44%,16.07,2.05,4.8,Analyze
DFS,Discover Financial Services,Common stocks,Large cap,Financials,"$28,048,745,534 ",2.09%,5.59,2.3,2.08,Analyze
DG,Dollar General Corp,Common stocks,Large cap,Consumer Discretionary,"$56,190,841,836 ",0.78%,23.33,1.65,8.94,Analyze
DGX,Quest Diagnostics Inc,Common stocks,Large cap,Health Care,"$15,737,476,605 ",1.90%,8.33,1.47,2.45,Analyze
DHI,D R Horton Inc,Common stocks,Large cap,Consumer Discretionary,"$26,191,050,674 ",1.17%,5.16,0.86,1.55,Analyze
DHR,Danaher Corp,Common stocks,Large cap,Health Care,"$183,732,298,768 ",0.36%,29.01,6.07,3.94,Analyze
DIS,Walt Disney,Common stocks,Large cap,Communication Services,"$170,411,286,989 ",0.00%,63.83,2.22,1.87,Analyze
DISH,Dish Network Corp Class A,Common stocks,Mid cap,Communication Services,"$9,162,797,921 ",0.00%,2.3,0.52,0.32,Analyze
DLR,"Digital Realty Trust, Inc",REITs,Large cap,Real Estate,"$35,399,008,215 ",3.78%,25.49,7.93,1.98,Analyze
DLTR,Dollar Tree Inc,Common stocks,Large cap,Consumer Discretionary,"$36,856,382,189 ",0.00%,25.96,1.4,4.78,Analyze
DOV,Dover Corp,Common stocks,Large cap,Industrials,"$17,410,616,716 ",1.65%,15.45,2.15,3.99,Analyze
DOW,Dow Inc.,Common stocks,Large cap,Materials,"$36,710,894,874 ",5.46%,5.25,0.63,1.92,Analyze
DPZ,Dominos Pizza Inc,Common stocks,Large cap,Consumer Discretionary,"$14,111,283,280 ",1.04%,29.91,3.22,-3.45,Analyze
DRE,Duke Realty Corporation,REITs,Large cap,Real Estate,"$21,883,185,829 ",1.91%,21.4,19.99,3.51,Analyze
DRI,Darden Restaurants Inc,Common stocks,Large cap,Consumer Discretionary,"$14,447,978,602 ",3.84%,13.95,1.55,6.35,Analyze
DTE,DTE Energy,Common stocks,Large cap,Utilities,"$24,258,080,975 ",2.75%,26.71,1.5,2.72,Analyze
DUK,Duke Energy Corp,Common stocks,Large cap,Utilities,"$82,895,184,897 ",3.61%,22.38,3.18,1.67,Analyze
DVA,Davita Inc,Common stocks,Mid cap,Health Care,"$7,993,700,000 ",0.00%,8.8,0.69,9.42,Analyze
DVN,Devon Energy Corp,Common stocks,Large cap,Energy,"$34,273,800,000 ",6.11%,9.68,2.45,3.73,Analyze
DXC,DXC Technology Company,Common stocks,Mid cap,Information Technology,"$6,581,907,972 ",0.00%,-10.75,0.4,1.37,Analyze
DXCM,Dexcom Inc,Common stocks,Mid cap,Health Care,"$7,658,729,071 ",0.00%,36.18,2.98,3.5,Analyze
EA,Electronic Arts Inc,Common stocks,Large cap,Communication Services,"$34,105,104,711 ",0.57%,43.23,4.88,4.47,Analyze
EBAY,Ebay Inc,Common stocks,Large cap,Consumer Discretionary,"$24,185,180,232 ",1.85%,2.08,2.36,3.43,Analyze
ECL,Ecolab Inc,Common stocks,Large cap,Materials,"$45,070,672,249 ",1.27%,40.11,3.44,6.28,Analyze
ED,Consolidated Edison Inc,Common stocks,Large cap,Utilities,"$32,885,656,145 ",3.33%,21.44,2.34,1.61,Analyze
EFX,Equifax Inc,Common stocks,Large cap,Industrials,"$22,898,687,574 ",0.83%,29.55,4.51,5.89,Analyze
EIX,Edison International,Common stocks,Large cap,Utilities,"$23,715,986,464 ",4.37%,40.56,1.49,1.51,Analyze
EL,Estee Lauder Inc Class A,Common stocks,Large cap,Consumer Staples,"$88,340,592,054 ",0.95%,16.95,4.88,9.25,Analyze
ELV,"Elevance Health, Inc.",Common stocks,Large cap,Health Care,"$115,231,292,297 ",1.00%,0,0,0,Analyze
EMN,Eastman Chemical,Common stocks,Large cap,Materials,"$11,690,919,148 ",3.24%,13.96,1.08,1.94,Analyze
EMR,Emerson Electric,Common stocks,Large cap,Industrials,"$46,955,700,000 ",2.57%,16.29,2.48,4.42,Analyze
ENPH,Enphase Energy Inc,Common stocks,Large cap,Information Technology,"$25,583,800,443 ",0.00%,154.52,16.81,77.3,Analyze
EOG,EOG Resources Inc,Common stocks,Large cap,Energy,"$58,272,633,429 ",2.26%,13.3,2.6,2.7,Analyze
EPAM,Epam Systems Inc,Common stocks,Large cap,Information Technology,"$17,416,807,782 ",0.00%,37.38,4.2,6.77,Analyze
EQIX,"Equinix, Inc.",REITs,Large cap,Real Estate,"$57,179,434,928 ",1.89%,116.39,8.44,5.23,Analyze
EQR,Equity Residential,REITs,Large cap,Real Estate,"$26,803,191,450 ",3.40%,19.82,10.64,2.46,Analyze
ES,Eversource Energy,Common stocks,Large cap,Utilities,"$28,755,938,980 ",2.97%,22,2.74,1.92,Analyze
ESS,"Essex Property Trust, Inc",REITs,Large cap,Real Estate,"$17,252,491,648 ",3.21%,43.46,11.76,2.87,Analyze
